"40717"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"01/01/1991", "02/01/1992", "13", "-1.24", "-9.07", "-0.7", "-0.67"
"03/01/1996", "04/01/1996", "1", "-1.35", "-1.35", "-1.35", "-1.35"
"04/01/1997", "01/01/1998", "9", "-1.54", "-7.17", "-0.8", "-0.91"
"01/01/1999", "03/01/2000", "14", "-2.34", "-18.3", "-1.31", "-1.39"
"01/01/2001", "12/01/2001", "11", "-2.54", "-18.04", "-1.64", "-1.38"
"02/01/2007", "04/01/2007", "2", "-1.12", "-1.55", "-0.78", "-0.78"
"03/01/2008", "10/01/2009", "19", "-2.49", "-23.95", "-1.26", "-1.28"
"01/01/2011", "03/01/2012", "14", "-2.33", "-12.71", "-0.91", "-0.9"
"04/01/2013", "11/01/2014", "19", "-2.12", "-20.28", "-1.07", "-1.19"
"01/01/2020", "04/01/2020", "3", "-1.13", "-1.73", "-0.58", "-0.33"
"08/01/2021", "01/01/2022", "5", "-2.47", "-9.72", "-1.94", "-1.96"
"11/01/2022", "09/01/2023", "10", "-1.85", "-7.75", "-0.78", "-0.54"
