"40717"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"04/01/1997", "01/01/1998", "9", "-1.54", "-7.17", "-0.8", "-0.91"
"02/01/1999", "03/01/2000", "13", "-2.34", "-16.83", "-1.29", "-1.33"
"06/01/2001", "12/01/2001", "6", "-2.54", "-11.88", "-1.98", "-2.1"
"04/01/2008", "10/01/2009", "18", "-2.49", "-22.76", "-1.26", "-1.29"
"02/01/2011", "03/01/2012", "13", "-2.33", "-11.22", "-0.86", "-0.62"
"09/01/2013", "11/01/2014", "14", "-2.12", "-13.71", "-0.98", "-0.8"
"08/01/2021", "01/01/2022", "5", "-2.47", "-9.72", "-1.94", "-1.96"
"12/01/2022", "09/01/2023", "9", "-1.85", "-6.69", "-0.74", "-0.5"
