"88107"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/2006", "11/01/2006", "4", "-2.77", "-6.08", "-1.52", "-1.65"
"10/01/2007", "02/01/2008", "4", "-2", "-5.37", "-1.34", "-1.34"
"05/01/2008", "09/01/2008", "4", "-1.62", "-4.85", "-1.21", "-1.22"
"01/01/2009", "06/01/2009", "5", "-2.2", "-8.42", "-1.68", "-1.82"
"11/01/2010", "03/01/2011", "4", "-3", "-7.96", "-1.99", "-2.13"
"10/01/2012", "06/01/2013", "8", "-1.66", "-4.95", "-0.62", "-0.65"
"09/01/2013", "12/01/2013", "3", "-1.53", "-2.3", "-0.77", "-0.58"
"03/01/2014", "06/01/2014", "3", "-1.79", "-3.37", "-1.12", "-0.87"
"06/01/2015", "08/01/2015", "2", "-1.56", "-1.81", "-0.9", "-0.9"
"06/01/2017", "10/01/2017", "4", "-1.52", "-4.92", "-1.23", "-1.19"
"09/01/2022", "03/01/2023", "6", "-1.56", "-5.49", "-0.92", "-0.92"
