"40726"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "5", "1.21", "2.08"
"-2.3", "1", "0.24", "4.17"
"-2.2", "3", "0.73", "6.25"
"-2.1", "3", "0.73", "8.33"
"-2", "3", "0.73", "10.42"
"-1.9", "2", "0.49", "12.5"
"-1.7", "2", "0.49", "14.58"
"-1.6", "2", "0.49", "16.67"
"-1.5", "3", "0.73", "18.75"
"-1.4", "7", "1.7", "20.83"
"-1.3", "7", "1.7", "22.92"
"-1.2", "3", "0.73", "25"
"-1.1", "15", "3.64", "27.08"
"-1", "8", "1.94", "29.17"
"-0.9", "20", "4.85", "31.25"
"-0.8", "16", "3.88", "33.33"
"-0.7", "14", "3.4", "35.42"
"-0.6", "15", "3.64", "37.5"
"-0.5", "9", "2.18", "39.58"
"-0.4", "15", "3.64", "41.67"
"-0.3", "12", "2.91", "43.75"
"-0.2", "14", "3.4", "45.83"
"-0.1", "18", "4.37", "47.92"
"0", "11", "2.67", "50"
"0.1", "16", "3.88", "52.08"
"0.2", "29", "7.04", "54.17"
"0.3", "22", "5.34", "56.25"
"0.4", "26", "6.31", "58.33"
"0.5", "10", "2.43", "60.42"
"0.6", "17", "4.13", "62.5"
"0.7", "17", "4.13", "64.58"
"0.8", "11", "2.67", "66.67"
"0.9", "7", "1.7", "68.75"
"1", "8", "1.94", "70.83"
"1.1", "11", "2.67", "72.92"
"1.2", "5", "1.21", "75"
"1.3", "5", "1.21", "77.08"
"1.4", "3", "0.73", "79.17"
"1.5", "2", "0.49", "81.25"
"1.6", "2", "0.49", "83.33"
"1.7", "3", "0.73", "85.42"
"1.9", "2", "0.49", "87.5"
"2", "1", "0.24", "89.58"
"2.5", "1", "0.24", "91.67"
"4.3", "1", "0.24", "93.75"
"4.4", "2", "0.49", "95.83"
"4.6", "2", "0.49", "97.92"
"4.7", "1", "0.24", "100"
