"40717"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"06/01/1990", "11/01/1990", "5", "-1.09", "-4.36", "-0.87", "-0.93"
"01/01/1991", "03/01/1991", "2", "-1.21", "-2.1", "-1.05", "-1.05"
"09/01/1991", "10/01/1991", "1", "-1.05", "-1.05", "-1.05", "-1.05"
"10/01/1992", "11/01/1992", "1", "-3.16", "-3.16", "-3.16", "-3.16"
"09/01/1993", "10/01/1993", "1", "-1.05", "-1.05", "-1.05", "-1.05"
"02/01/1995", "03/01/1995", "1", "-1.5", "-1.5", "-1.5", "-1.5"
"10/01/1995", "02/01/1996", "4", "-2.54", "-5.5", "-1.38", "-1.3"
"11/01/1996", "01/01/1997", "2", "-1.1", "-1.39", "-0.7", "-0.7"
"02/01/1997", "05/01/1997", "3", "-1.82", "-3.52", "-1.17", "-1.09"
"10/01/1998", "02/01/1999", "4", "-1.68", "-3.85", "-0.96", "-1.01"
"03/01/1999", "07/01/1999", "4", "-1.37", "-2.52", "-0.63", "-0.47"
"05/01/2000", "06/01/2000", "1", "-1.02", "-1.02", "-1.02", "-1.02"
"01/01/2001", "08/01/2001", "7", "-1.33", "-6.09", "-0.87", "-1.12"
"03/01/2002", "04/01/2002", "1", "-1.16", "-1.16", "-1.16", "-1.16"
"06/01/2002", "07/01/2002", "1", "-1.33", "-1.33", "-1.33", "-1.33"
"09/01/2002", "11/01/2002", "2", "-1.41", "-2.46", "-1.23", "-1.23"
"12/01/2004", "02/01/2005", "2", "-1.09", "-2.06", "-1.03", "-1.03"
"04/01/2005", "05/01/2005", "1", "-1.23", "-1.23", "-1.23", "-1.23"
"06/01/2006", "10/01/2006", "4", "-1.57", "-3.29", "-0.82", "-0.73"
"01/01/2007", "03/01/2007", "2", "-1.91", "-2.97", "-1.48", "-1.48"
"11/01/2007", "12/01/2007", "1", "-1.33", "-1.33", "-1.33", "-1.33"
"01/01/2008", "02/01/2008", "1", "-2.04", "-2.04", "-2.04", "-2.04"
"04/01/2008", "07/01/2008", "3", "-1.87", "-3.35", "-1.12", "-1.3"
"11/01/2008", "02/01/2009", "3", "-1.52", "-3.92", "-1.31", "-1.39"
"03/01/2009", "06/01/2009", "3", "-1.78", "-3.64", "-1.21", "-1.23"
"03/01/2010", "04/01/2010", "1", "-2.32", "-2.32", "-2.32", "-2.32"
"11/01/2010", "02/01/2011", "3", "-1.89", "-3", "-1", "-0.85"
"02/01/2012", "03/01/2012", "1", "-1.49", "-1.49", "-1.49", "-1.49"
"03/01/2013", "05/01/2013", "2", "-1.12", "-2.19", "-1.09", "-1.09"
"06/01/2013", "08/01/2013", "2", "-1.23", "-2.16", "-1.08", "-1.08"
"01/01/2014", "03/01/2014", "2", "-1.69", "-2.15", "-1.08", "-1.08"
"01/01/2015", "02/01/2015", "1", "-1.27", "-1.27", "-1.27", "-1.27"
"05/01/2015", "08/01/2015", "3", "-1.41", "-1.68", "-0.56", "-0.25"
"05/01/2016", "06/01/2016", "1", "-2.63", "-2.63", "-2.63", "-2.63"
"11/01/2016", "12/01/2016", "1", "-1.17", "-1.17", "-1.17", "-1.17"
"05/01/2017", "08/01/2017", "3", "-1.74", "-2.89", "-0.96", "-0.86"
"04/01/2021", "07/01/2021", "3", "-1.9", "-3.67", "-1.22", "-1.09"
"09/01/2021", "12/01/2021", "3", "-1.14", "-2.97", "-0.99", "-1.05"
"06/01/2022", "08/01/2022", "2", "-1.57", "-2.39", "-1.19", "-1.19"
"12/01/2022", "01/01/2023", "1", "-1.04", "-1.04", "-1.04", "-1.04"
"02/01/2023", "03/01/2023", "1", "-1.7", "-1.7", "-1.7", "-1.7"
