"40708"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/1990", "02/01/1991", "7", "-2.17", "-6.71", "-0.96", "-0.79"
"09/01/1991", "02/01/1992", "5", "-1.58", "-5.08", "-1.02", "-1.32"
"09/01/1994", "11/01/1994", "2", "-1.5", "-2.37", "-1.19", "-1.19"
"06/01/2000", "10/01/2000", "4", "-1.81", "-3.31", "-0.83", "-0.72"
"03/01/2001", "10/01/2001", "7", "-1.57", "-8.11", "-1.16", "-1.28"
"03/01/2002", "05/01/2002", "2", "-1.61", "-2.03", "-1.01", "-1.01"
"10/01/2002", "01/01/2003", "3", "-1.9", "-2.95", "-0.98", "-1.01"
"07/01/2006", "10/01/2006", "3", "-3.62", "-7.24", "-2.41", "-1.91"
"10/01/2007", "01/01/2008", "3", "-1.87", "-3.76", "-1.25", "-1.71"
"05/01/2008", "09/01/2008", "4", "-1.51", "-4.59", "-1.15", "-1.2"
"01/01/2009", "06/01/2009", "5", "-2.2", "-8.1", "-1.62", "-1.5"
"11/01/2010", "03/01/2011", "4", "-3.27", "-8.15", "-2.04", "-2.39"
"02/01/2012", "05/01/2012", "3", "-1.51", "-2.44", "-0.81", "-0.6"
"04/01/2021", "01/01/2022", "9", "-2.63", "-10.72", "-1.19", "-0.95"
"09/01/2022", "05/01/2023", "8", "-2.29", "-8.98", "-1.12", "-1.24"
