"40726"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "2.13"
"-2", "1", "0.24", "4.26"
"-1.9", "1", "0.24", "6.38"
"-1.8", "4", "0.97", "8.51"
"-1.7", "3", "0.73", "10.64"
"-1.6", "4", "0.97", "12.77"
"-1.5", "1", "0.24", "14.89"
"-1.4", "3", "0.73", "17.02"
"-1.3", "10", "2.43", "19.15"
"-1.2", "9", "2.18", "21.28"
"-1.1", "8", "1.94", "23.4"
"-1", "12", "2.91", "25.53"
"-0.9", "13", "3.16", "27.66"
"-0.8", "16", "3.88", "29.79"
"-0.7", "14", "3.4", "31.91"
"-0.6", "15", "3.64", "34.04"
"-0.5", "14", "3.4", "36.17"
"-0.4", "18", "4.37", "38.3"
"-0.3", "20", "4.85", "40.43"
"-0.2", "20", "4.85", "42.55"
"-0.1", "17", "4.13", "44.68"
"0", "21", "5.1", "46.81"
"0.1", "18", "4.37", "48.94"
"0.2", "27", "6.55", "51.06"
"0.3", "17", "4.13", "53.19"
"0.4", "12", "2.91", "55.32"
"0.5", "17", "4.13", "57.45"
"0.6", "24", "5.83", "59.57"
"0.7", "9", "2.18", "61.7"
"0.8", "10", "2.43", "63.83"
"0.9", "8", "1.94", "65.96"
"1", "5", "1.21", "68.09"
"1.1", "7", "1.7", "70.21"
"1.2", "3", "0.73", "72.34"
"1.3", "4", "0.97", "74.47"
"1.4", "2", "0.49", "76.6"
"1.5", "3", "0.73", "78.72"
"1.7", "2", "0.49", "80.85"
"2", "1", "0.24", "82.98"
"2.5", "2", "0.49", "85.11"
"4", "2", "0.49", "87.23"
"4.1", "1", "0.24", "89.36"
"4.2", "1", "0.24", "91.49"
"4.4", "2", "0.49", "93.62"
"4.5", "1", "0.24", "95.74"
"4.6", "1", "0.24", "97.87"
"4.7", "1", "0.24", "100"
