"40717"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"04/01/1997", "04/01/1998", "12", "-1.61", "-10.74", "-0.89", "-0.8"
"04/01/1999", "04/01/2002", "36", "-2.49", "-39.87", "-1.11", "-1.16"
"05/01/2008", "12/01/2009", "19", "-2.23", "-26.57", "-1.4", "-1.45"
"06/01/2011", "03/01/2012", "9", "-1.58", "-8.67", "-0.96", "-1.17"
"08/01/2013", "10/01/2015", "26", "-2.04", "-23.82", "-0.92", "-0.66"
"11/01/2021", "04/01/2022", "5", "-2.49", "-5.56", "-1.11", "-0.82"
"02/01/2023", "01/01/2024", "11", "-1.62", "-7.21", "-0.66", "-0.5"
