"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"10/01/1995", "02/01/1996", "4", "-1.58", "-4.32", "-1.08", "-0.99"
"04/01/2000", "12/01/2000", "8", "-1.85", "-10.93", "-1.37", "-1.52"
"11/01/2002", "03/01/2003", "4", "-2.5", "-4.42", "-1.1", "-0.85"
"02/01/2004", "05/01/2004", "3", "-2.41", "-5.91", "-1.97", "-2.32"
"03/01/2006", "12/01/2006", "9", "-2.17", "-14", "-1.56", "-1.74"
"06/01/2008", "10/01/2008", "4", "-1.75", "-5.64", "-1.41", "-1.48"
"12/01/2010", "04/01/2011", "4", "-1.77", "-4.73", "-1.18", "-1.36"
"12/01/2013", "11/01/2014", "11", "-2.32", "-11.01", "-1", "-0.91"
"06/01/2017", "01/01/2018", "7", "-2.06", "-10.03", "-1.43", "-1.64"
"09/01/2021", "01/01/2022", "4", "-1.52", "-4.44", "-1.11", "-1.23"
"11/01/2022", "09/01/2023", "10", "-2.12", "-13.13", "-1.31", "-1.79"
