"40717"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "23", "5.58", "2.13"
"-2.3", "2", "0.49", "4.26"
"-2.1", "1", "0.24", "6.38"
"-2", "2", "0.49", "8.51"
"-1.9", "2", "0.49", "10.64"
"-1.8", "4", "0.97", "12.77"
"-1.7", "8", "1.94", "14.89"
"-1.6", "7", "1.7", "17.02"
"-1.5", "8", "1.94", "19.15"
"-1.4", "9", "2.18", "21.28"
"-1.3", "8", "1.94", "23.4"
"-1.2", "9", "2.18", "25.53"
"-1.1", "7", "1.7", "27.66"
"-1", "7", "1.7", "29.79"
"-0.9", "11", "2.67", "31.91"
"-0.8", "5", "1.21", "34.04"
"-0.7", "12", "2.91", "36.17"
"-0.6", "14", "3.4", "38.3"
"-0.5", "18", "4.37", "40.43"
"-0.4", "14", "3.4", "42.55"
"-0.3", "14", "3.4", "44.68"
"-0.2", "15", "3.64", "46.81"
"-0.1", "13", "3.16", "48.94"
"0", "15", "3.64", "51.06"
"0.1", "13", "3.16", "53.19"
"0.2", "13", "3.16", "55.32"
"0.3", "13", "3.16", "57.45"
"0.4", "13", "3.16", "59.57"
"0.5", "9", "2.18", "61.7"
"0.6", "17", "4.13", "63.83"
"0.7", "9", "2.18", "65.96"
"0.8", "10", "2.43", "68.09"
"0.9", "11", "2.67", "70.21"
"1", "12", "2.91", "72.34"
"1.1", "5", "1.21", "74.47"
"1.2", "9", "2.18", "76.6"
"1.3", "8", "1.94", "78.72"
"1.4", "10", "2.43", "80.85"
"1.5", "8", "1.94", "82.98"
"1.6", "6", "1.46", "85.11"
"1.7", "4", "0.97", "87.23"
"1.8", "5", "1.21", "89.36"
"1.9", "3", "0.73", "91.49"
"2", "1", "0.24", "93.62"
"2.1", "3", "0.73", "95.74"
"2.2", "1", "0.24", "97.87"
"2.3", "1", "0.24", "100"
