"40713"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "2.08"
"-2.4", "1", "0.24", "4.17"
"-2.3", "2", "0.49", "6.25"
"-2.1", "3", "0.73", "8.33"
"-2", "1", "0.24", "10.42"
"-1.9", "3", "0.73", "12.5"
"-1.8", "9", "2.18", "14.58"
"-1.7", "6", "1.46", "16.67"
"-1.6", "6", "1.46", "18.75"
"-1.5", "4", "0.97", "20.83"
"-1.4", "9", "2.18", "22.92"
"-1.3", "5", "1.21", "25"
"-1.2", "9", "2.18", "27.08"
"-1.1", "8", "1.94", "29.17"
"-1", "6", "1.46", "31.25"
"-0.9", "15", "3.64", "33.33"
"-0.8", "9", "2.18", "35.42"
"-0.7", "20", "4.85", "37.5"
"-0.6", "9", "2.18", "39.58"
"-0.5", "10", "2.43", "41.67"
"-0.4", "10", "2.43", "43.75"
"-0.3", "9", "2.18", "45.83"
"-0.2", "11", "2.67", "47.92"
"-0.1", "15", "3.64", "50"
"0", "24", "5.83", "52.08"
"0.1", "11", "2.67", "54.17"
"0.2", "14", "3.4", "56.25"
"0.3", "18", "4.37", "58.33"
"0.4", "20", "4.85", "60.42"
"0.5", "17", "4.13", "62.5"
"0.6", "12", "2.91", "64.58"
"0.7", "13", "3.16", "66.67"
"0.8", "11", "2.67", "68.75"
"0.9", "13", "3.16", "70.83"
"1", "15", "3.64", "72.92"
"1.1", "10", "2.43", "75"
"1.2", "5", "1.21", "77.08"
"1.3", "3", "0.73", "79.17"
"1.4", "8", "1.94", "81.25"
"1.5", "6", "1.46", "83.33"
"1.6", "6", "1.46", "85.42"
"1.7", "3", "0.73", "87.5"
"1.8", "4", "0.97", "89.58"
"1.9", "4", "0.97", "91.67"
"2", "3", "0.73", "93.75"
"2.3", "1", "0.24", "95.83"
"2.6", "1", "0.24", "97.92"
"2.8", "2", "0.49", "100"
