"40712"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "2", "0.49", "2"
"-2.4", "1", "0.24", "4"
"-2.2", "1", "0.24", "6"
"-2.1", "1", "0.24", "8"
"-2", "3", "0.73", "10"
"-1.9", "3", "0.73", "12"
"-1.8", "3", "0.73", "14"
"-1.7", "2", "0.49", "16"
"-1.6", "6", "1.46", "18"
"-1.5", "8", "1.94", "20"
"-1.4", "6", "1.46", "22"
"-1.3", "9", "2.18", "24"
"-1.2", "9", "2.18", "26"
"-1.1", "13", "3.16", "28"
"-1", "12", "2.91", "30"
"-0.9", "10", "2.43", "32"
"-0.8", "16", "3.88", "34"
"-0.7", "12", "2.91", "36"
"-0.6", "12", "2.91", "38"
"-0.5", "19", "4.61", "40"
"-0.4", "12", "2.91", "42"
"-0.3", "13", "3.16", "44"
"-0.2", "19", "4.61", "46"
"-0.1", "14", "3.4", "48"
"0", "18", "4.37", "50"
"0.1", "14", "3.4", "52"
"0.2", "11", "2.67", "54"
"0.3", "18", "4.37", "56"
"0.4", "19", "4.61", "58"
"0.5", "11", "2.67", "60"
"0.6", "12", "2.91", "62"
"0.7", "7", "1.7", "64"
"0.8", "7", "1.7", "66"
"0.9", "9", "2.18", "68"
"1", "16", "3.88", "70"
"1.1", "8", "1.94", "72"
"1.2", "4", "0.97", "74"
"1.3", "10", "2.43", "76"
"1.4", "7", "1.7", "78"
"1.5", "8", "1.94", "80"
"1.6", "3", "0.73", "82"
"1.7", "5", "1.21", "84"
"1.8", "2", "0.49", "86"
"1.9", "3", "0.73", "88"
"2", "2", "0.49", "90"
"2.1", "3", "0.73", "92"
"2.2", "4", "0.97", "94"
"2.3", "2", "0.49", "96"
"2.4", "1", "0.24", "98"
"2.5", "2", "0.49", "100"
