"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/1995", "09/01/1995", "2", "-2.28", "-3.67", "-1.83", "-1.83"
"12/01/1995", "02/01/1996", "2", "-2.23", "-3.91", "-1.95", "-1.95"
"10/01/2002", "12/01/2002", "2", "-3.14", "-5.28", "-2.64", "-2.64"
"04/01/2008", "08/01/2008", "4", "-2.35", "-6.21", "-1.55", "-1.84"
"12/01/2010", "02/01/2011", "2", "-2.78", "-4.69", "-2.34", "-2.34"
"09/01/2013", "07/01/2014", "10", "-2.09", "-9.05", "-0.91", "-0.84"
"09/01/2017", "10/01/2017", "1", "-2.5", "-2.5", "-2.5", "-2.5"
