"40705"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"08/01/2000", "05/01/2002", "21", "-2.04", "-23.35", "-1.11", "-1.16"
"11/01/2002", "08/01/2003", "9", "-1.56", "-4.82", "-0.54", "-0.4"
"05/01/2006", "06/01/2007", "13", "-2.11", "-20.44", "-1.57", "-1.82"
"07/01/2008", "09/01/2009", "14", "-1.67", "-11.16", "-0.8", "-0.76"
"06/01/2014", "11/01/2015", "17", "-1.63", "-13.05", "-0.77", "-0.66"
"06/01/2017", "05/01/2018", "11", "-2.15", "-16.72", "-1.52", "-1.72"
"04/01/2023", "01/01/2024", "9", "-1.95", "-10.06", "-1.12", "-1"
