"40704"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"09/01/1990", "03/01/1991", "6", "-1.79", "-8.01", "-1.33", "-1.21"
"12/01/1995", "05/01/1996", "5", "-1.65", "-5.55", "-1.11", "-1.26"
"05/01/2000", "11/01/2000", "6", "-2.25", "-9.77", "-1.63", "-1.74"
"05/01/2001", "05/01/2002", "12", "-2.09", "-12.39", "-1.03", "-1.06"
"10/01/2002", "12/01/2002", "2", "-1.21", "-2.21", "-1.1", "-1.1"
"12/01/2003", "05/01/2004", "5", "-1.82", "-5.67", "-1.13", "-1.14"
"06/01/2008", "10/01/2008", "4", "-2.12", "-7.06", "-1.77", "-1.78"
"04/01/2009", "11/01/2009", "7", "-2.71", "-13.76", "-1.97", "-2.06"
"11/01/2010", "05/01/2011", "6", "-3.12", "-11.22", "-1.87", "-1.92"
"06/01/2014", "10/01/2014", "4", "-1.37", "-3.85", "-0.96", "-0.97"
"05/01/2016", "11/01/2017", "18", "-1.65", "-13.25", "-0.74", "-0.6"
"09/01/2019", "04/01/2020", "7", "-1.45", "-6.17", "-0.88", "-0.89"
"06/01/2021", "05/01/2022", "11", "-2.59", "-15.79", "-1.44", "-1.32"
"11/01/2022", "08/01/2023", "9", "-3.19", "-16.39", "-1.82", "-1.59"
