"40704"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "5", "1.21", "1.92"
"-3.2", "1", "0.24", "3.85"
"-3.1", "1", "0.24", "5.77"
"-2.8", "2", "0.49", "7.69"
"-2.7", "2", "0.49", "9.62"
"-2.6", "1", "0.24", "11.54"
"-2.4", "1", "0.24", "13.46"
"-2.3", "1", "0.24", "15.38"
"-2.2", "2", "0.49", "17.31"
"-2.1", "3", "0.73", "19.23"
"-2", "3", "0.73", "21.15"
"-1.9", "2", "0.49", "23.08"
"-1.8", "5", "1.21", "25"
"-1.7", "3", "0.73", "26.92"
"-1.6", "9", "2.18", "28.85"
"-1.5", "3", "0.73", "30.77"
"-1.4", "6", "1.46", "32.69"
"-1.3", "7", "1.7", "34.62"
"-1.2", "4", "0.97", "36.54"
"-1.1", "8", "1.94", "38.46"
"-1", "8", "1.94", "40.38"
"-0.9", "6", "1.46", "42.31"
"-0.8", "7", "1.7", "44.23"
"-0.7", "7", "1.7", "46.15"
"-0.6", "10", "2.43", "48.08"
"-0.5", "9", "2.18", "50"
"-0.4", "15", "3.64", "51.92"
"-0.3", "15", "3.64", "53.85"
"-0.2", "14", "3.4", "55.77"
"-0.1", "23", "5.58", "57.69"
"0", "15", "3.64", "59.62"
"0.1", "15", "3.64", "61.54"
"0.2", "21", "5.1", "63.46"
"0.3", "21", "5.1", "65.38"
"0.4", "20", "4.85", "67.31"
"0.5", "12", "2.91", "69.23"
"0.6", "25", "6.07", "71.15"
"0.7", "9", "2.18", "73.08"
"0.8", "14", "3.4", "75"
"0.9", "11", "2.67", "76.92"
"1", "9", "2.18", "78.85"
"1.1", "6", "1.46", "80.77"
"1.2", "11", "2.67", "82.69"
"1.3", "8", "1.94", "84.62"
"1.4", "7", "1.7", "86.54"
"1.5", "7", "1.7", "88.46"
"1.6", "5", "1.21", "90.38"
"1.7", "7", "1.7", "92.31"
"1.8", "2", "0.49", "94.23"
"1.9", "2", "0.49", "96.15"
"2", "1", "0.24", "98.08"
"2.4", "1", "0.24", "100"
