"40716"
"date", "spi1", "spi3", "spi6", "spi9", "spi12", "spi24"
"01/01/1990", "1.22", "-99", "-99", "-99", "-99", "-99"
"02/01/1990", "0.91", "-99", "-99", "-99", "-99", "-99"
"03/01/1990", "0.43", "1.23", "-99", "-99", "-99", "-99"
"04/01/1990", "0.98", "1.06", "-99", "-99", "-99", "-99"
"05/01/1990", "-1.36", "0.33", "-99", "-99", "-99", "-99"
"06/01/1990", "-0.23", "0.15", "0.8", "-99", "-99", "-99"
"07/01/1990", "-0.46", "-1.46", "0.39", "-99", "-99", "-99"
"08/01/1990", "-0.72", "-0.9", "0.05", "-99", "-99", "-99"
"09/01/1990", "-0.72", "-1.89", "-0.25", "0.62", "-99", "-99"
"10/01/1990", "0.4", "-0.08", "-1.25", "0.25", "-99", "-99"
"11/01/1990", "-0.51", "-0.5", "-1.03", "-0.41", "-99", "-99"
"12/01/1990", "0.69", "0.04", "-0.32", "-0.27", "0.42", "-99"
"01/01/1991", "-0.39", "-0.31", "-0.51", "-1.12", "-0.04", "-99"
"02/01/1991", "0.96", "0.65", "0.02", "-0.24", "-0.01", "-99"
"03/01/1991", "1.82", "1.58", "1.09", "0.85", "0.69", "-99"
"04/01/1991", "0.81", "1.76", "1.19", "1.08", "0.6", "-99"
"05/01/1991", "0.15", "1.46", "1.42", "1.01", "0.87", "-99"
"06/01/1991", "-0.64", "0.47", "1.22", "1", "0.83", "-99"
"07/01/1991", "0.15", "-0.23", "1.46", "0.96", "0.87", "-99"
"08/01/1991", "-0.72", "-0.84", "1.28", "1.25", "0.84", "-99"
"09/01/1991", "-0.72", "-0.74", "0.17", "1.11", "0.87", "-99"
"10/01/1991", "0.69", "0.23", "-0.18", "1.45", "0.99", "-99"
"11/01/1991", "-0.89", "-0.51", "-1.03", "0.73", "0.83", "-99"
"12/01/1991", "1.67", "0.86", "0.66", "0.74", "1.32", "1.19"
"01/01/1992", "1.62", "1.47", "1.42", "1.05", "1.84", "1.29"
"02/01/1992", "-0.08", "2.07", "1.26", "0.99", "1.58", "1.13"
"03/01/1992", "-0.2", "0.67", "1.12", "0.92", "0.92", "1.11"
"04/01/1992", "0.35", "-0.11", "0.92", "0.88", "0.7", "0.86"
"05/01/1992", "0.9", "0.31", "1.44", "1.03", "0.88", "1.2"
"06/01/1992", "1.16", "0.82", "0.87", "1.22", "1.09", "1.35"
"07/01/1992", "-0.46", "0.87", "0.26", "1.08", "1.07", "1.35"
"08/01/1992", "0.74", "0.67", "0.42", "1.51", "1.09", "1.35"
"09/01/1992", "0.36", "0.02", "0.71", "0.82", "1.18", "1.45"
"10/01/1992", "-1.89", "-0.91", "0.22", "-0.09", "0.89", "1.25"
"11/01/1992", "-0.34", "-1.01", "-0.74", "-0.29", "0.94", "1.14"
"12/01/1992", "0.41", "-0.59", "-0.79", "-0.04", "0.26", "1.08"
"01/01/1993", "0.21", "-0.18", "-0.68", "-0.1", "-0.24", "1.18"
"02/01/1993", "0.39", "0.34", "-0.52", "-0.34", "-0.1", "1.08"
"03/01/1993", "1.43", "1.17", "0.33", "0.22", "0.59", "1.03"
"04/01/1993", "0.34", "1.02", "0.62", "0.34", "0.59", "0.85"
"05/01/1993", "0.96", "1.2", "1.06", "0.49", "0.58", "1"
"06/01/1993", "1.44", "0.95", "1.25", "0.71", "0.64", "1.21"
"07/01/1993", "0.31", "1.16", "1.36", "0.93", "0.69", "1.22"
"08/01/1993", "0.94", "1.1", "1.48", "1.26", "0.69", "1.24"
"09/01/1993", "-0.72", "0.1", "0.88", "1.25", "0.66", "1.3"
"10/01/1993", "0.52", "0.33", "0.97", "1.38", "0.99", "1.25"
