"40726"
"spi", "frequency", "percentage", "rankingpercentile"
"-2.8", "2", "0.49", "2.08"
"-2.5", "2", "0.49", "4.17"
"-2.4", "1", "0.24", "6.25"
"-2.3", "1", "0.24", "8.33"
"-2", "1", "0.24", "10.42"
"-1.9", "3", "0.73", "12.5"
"-1.8", "3", "0.73", "14.58"
"-1.7", "2", "0.49", "16.67"
"-1.6", "2", "0.49", "18.75"
"-1.5", "2", "0.49", "20.83"
"-1.4", "2", "0.49", "22.92"
"-1.3", "5", "1.21", "25"
"-1.2", "2", "0.49", "27.08"
"-1.1", "6", "1.46", "29.17"
"-1", "7", "1.7", "31.25"
"-0.9", "4", "0.97", "33.33"
"-0.8", "7", "1.7", "35.42"
"-0.7", "8", "1.94", "37.5"
"-0.6", "12", "2.91", "39.58"
"-0.5", "14", "3.4", "41.67"
"-0.4", "28", "6.8", "43.75"
"-0.3", "13", "3.16", "45.83"
"-0.2", "13", "3.16", "47.92"
"-0.1", "14", "3.4", "50"
"0", "24", "5.83", "52.08"
"0.1", "35", "8.5", "54.17"
"0.2", "45", "10.92", "56.25"
"0.3", "15", "3.64", "58.33"
"0.4", "12", "2.91", "60.42"
"0.5", "10", "2.43", "62.5"
"0.6", "7", "1.7", "64.58"
"0.7", "12", "2.91", "66.67"
"0.8", "18", "4.37", "68.75"
"0.9", "11", "2.67", "70.83"
"1", "11", "2.67", "72.92"
"1.1", "9", "2.18", "75"
"1.2", "8", "1.94", "77.08"
"1.3", "9", "2.18", "79.17"
"1.4", "4", "0.97", "81.25"
"1.5", "4", "0.97", "83.33"
"1.6", "5", "1.21", "85.42"
"1.7", "7", "1.7", "87.5"
"1.8", "1", "0.24", "89.58"
"1.9", "5", "1.21", "91.67"
"2.1", "1", "0.24", "93.75"
"2.2", "2", "0.49", "95.83"
"2.7", "2", "0.49", "97.92"
"4.8", "1", "0.24", "100"
