"40710"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "1.89"
"-3.7", "1", "0.24", "3.77"
"-2.9", "1", "0.24", "5.66"
"-2.8", "2", "0.49", "7.55"
"-2.7", "2", "0.49", "9.43"
"-2.6", "1", "0.24", "11.32"
"-2.5", "1", "0.24", "13.21"
"-2.4", "2", "0.49", "15.09"
"-2.3", "1", "0.24", "16.98"
"-2.2", "4", "0.97", "18.87"
"-2", "1", "0.24", "20.75"
"-1.9", "4", "0.97", "22.64"
"-1.8", "1", "0.24", "24.53"
"-1.7", "5", "1.21", "26.42"
"-1.6", "4", "0.97", "28.3"
"-1.5", "4", "0.97", "30.19"
"-1.4", "2", "0.49", "32.08"
"-1.3", "5", "1.21", "33.96"
"-1.2", "10", "2.43", "35.85"
"-1.1", "5", "1.21", "37.74"
"-1", "9", "2.18", "39.62"
"-0.9", "6", "1.46", "41.51"
"-0.8", "14", "3.4", "43.4"
"-0.7", "11", "2.67", "45.28"
"-0.6", "17", "4.13", "47.17"
"-0.5", "11", "2.67", "49.06"
"-0.4", "14", "3.4", "50.94"
"-0.3", "12", "2.91", "52.83"
"-0.2", "10", "2.43", "54.72"
"-0.1", "15", "3.64", "56.6"
"0", "29", "7.04", "58.49"
"0.1", "14", "3.4", "60.38"
"0.2", "9", "2.18", "62.26"
"0.3", "12", "2.91", "64.15"
"0.4", "19", "4.61", "66.04"
"0.5", "17", "4.13", "67.92"
"0.6", "17", "4.13", "69.81"
"0.7", "14", "3.4", "71.7"
"0.8", "16", "3.88", "73.58"
"0.9", "18", "4.37", "75.47"
"1", "10", "2.43", "77.36"
"1.1", "6", "1.46", "79.25"
"1.2", "9", "2.18", "81.13"
"1.3", "11", "2.67", "83.02"
"1.4", "9", "2.18", "84.91"
"1.5", "3", "0.73", "86.79"
"1.6", "6", "1.46", "88.68"
"1.7", "2", "0.49", "90.57"
"1.8", "2", "0.49", "92.45"
"1.9", "1", "0.24", "94.34"
"2", "1", "0.24", "96.23"
"2.1", "3", "0.73", "98.11"
"2.4", "1", "0.24", "100"
