"40716"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "5", "1.21", "2.04"
"-2.6", "1", "0.24", "4.08"
"-2.5", "1", "0.24", "6.12"
"-2.3", "4", "0.97", "8.16"
"-2.2", "2", "0.49", "10.2"
"-2", "4", "0.97", "12.24"
"-1.9", "2", "0.49", "14.29"
"-1.8", "5", "1.21", "16.33"
"-1.7", "1", "0.24", "18.37"
"-1.6", "9", "2.18", "20.41"
"-1.5", "8", "1.94", "22.45"
"-1.4", "8", "1.94", "24.49"
"-1.3", "9", "2.18", "26.53"
"-1.2", "11", "2.67", "28.57"
"-1.1", "9", "2.18", "30.61"
"-1", "11", "2.67", "32.65"
"-0.9", "5", "1.21", "34.69"
"-0.8", "4", "0.97", "36.73"
"-0.7", "11", "2.67", "38.78"
"-0.6", "12", "2.91", "40.82"
"-0.5", "15", "3.64", "42.86"
"-0.4", "12", "2.91", "44.9"
"-0.3", "9", "2.18", "46.94"
"-0.2", "14", "3.4", "48.98"
"-0.1", "17", "4.13", "51.02"
"0", "14", "3.4", "53.06"
"0.1", "13", "3.16", "55.1"
"0.2", "17", "4.13", "57.14"
"0.3", "20", "4.85", "59.18"
"0.4", "17", "4.13", "61.22"
"0.5", "9", "2.18", "63.27"
"0.6", "17", "4.13", "65.31"
"0.7", "18", "4.37", "67.35"
"0.8", "15", "3.64", "69.39"
"0.9", "10", "2.43", "71.43"
"1", "9", "2.18", "73.47"
"1.1", "9", "2.18", "75.51"
"1.2", "11", "2.67", "77.55"
"1.3", "5", "1.21", "79.59"
"1.4", "12", "2.91", "81.63"
"1.5", "8", "1.94", "83.67"
"1.6", "8", "1.94", "85.71"
"1.7", "3", "0.73", "87.76"
"1.8", "2", "0.49", "89.8"
"1.9", "1", "0.24", "91.84"
"2", "1", "0.24", "93.88"
"2.1", "1", "0.24", "95.92"
"2.2", "1", "0.24", "97.96"
"2.3", "2", "0.49", "100"
