"40704"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "2"
"-3.4", "1", "0.24", "4"
"-2.8", "1", "0.24", "6"
"-2.7", "1", "0.24", "8"
"-2.6", "1", "0.24", "10"
"-2.5", "3", "0.73", "12"
"-2.3", "1", "0.24", "14"
"-2.2", "2", "0.49", "16"
"-2.1", "1", "0.24", "18"
"-2", "2", "0.49", "20"
"-1.9", "4", "0.97", "22"
"-1.8", "4", "0.97", "24"
"-1.7", "7", "1.7", "26"
"-1.6", "4", "0.97", "28"
"-1.5", "1", "0.24", "30"
"-1.4", "6", "1.46", "32"
"-1.3", "2", "0.49", "34"
"-1.2", "8", "1.94", "36"
"-1.1", "13", "3.16", "38"
"-1", "10", "2.43", "40"
"-0.9", "5", "1.21", "42"
"-0.8", "8", "1.94", "44"
"-0.7", "12", "2.91", "46"
"-0.6", "13", "3.16", "48"
"-0.5", "14", "3.4", "50"
"-0.4", "16", "3.88", "52"
"-0.3", "19", "4.61", "54"
"-0.2", "27", "6.55", "56"
"-0.1", "9", "2.18", "58"
"0", "13", "3.16", "60"
"0.1", "10", "2.43", "62"
"0.2", "11", "2.67", "64"
"0.3", "16", "3.88", "66"
"0.4", "19", "4.61", "68"
"0.5", "13", "3.16", "70"
"0.6", "16", "3.88", "72"
"0.7", "17", "4.13", "74"
"0.8", "5", "1.21", "76"
"0.9", "8", "1.94", "78"
"1", "7", "1.7", "80"
"1.1", "14", "3.4", "82"
"1.2", "14", "3.4", "84"
"1.3", "8", "1.94", "86"
"1.4", "12", "2.91", "88"
"1.5", "8", "1.94", "90"
"1.6", "5", "1.21", "92"
"1.7", "8", "1.94", "94"
"1.8", "3", "0.73", "96"
"1.9", "1", "0.24", "98"
"2.2", "1", "0.24", "100"
