"40701"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "11", "2.67", "2.22"
"-2.1", "5", "1.21", "4.44"
"-2", "2", "0.49", "6.67"
"-1.9", "3", "0.73", "8.89"
"-1.8", "4", "0.97", "11.11"
"-1.7", "9", "2.18", "13.33"
"-1.6", "7", "1.7", "15.56"
"-1.5", "9", "2.18", "17.78"
"-1.4", "6", "1.46", "20"
"-1.3", "6", "1.46", "22.22"
"-1.2", "14", "3.4", "24.44"
"-1.1", "7", "1.7", "26.67"
"-1", "10", "2.43", "28.89"
"-0.9", "9", "2.18", "31.11"
"-0.8", "9", "2.18", "33.33"
"-0.7", "9", "2.18", "35.56"
"-0.6", "9", "2.18", "37.78"
"-0.5", "12", "2.91", "40"
"-0.4", "17", "4.13", "42.22"
"-0.3", "10", "2.43", "44.44"
"-0.2", "15", "3.64", "46.67"
"-0.1", "12", "2.91", "48.89"
"0", "8", "1.94", "51.11"
"0.1", "20", "4.85", "53.33"
"0.2", "21", "5.1", "55.56"
"0.3", "18", "4.37", "57.78"
"0.4", "18", "4.37", "60"
"0.5", "12", "2.91", "62.22"
"0.6", "7", "1.7", "64.44"
"0.7", "11", "2.67", "66.67"
"0.8", "9", "2.18", "68.89"
"0.9", "15", "3.64", "71.11"
"1", "10", "2.43", "73.33"
"1.1", "10", "2.43", "75.56"
"1.2", "13", "3.16", "77.78"
"1.3", "8", "1.94", "80"
"1.4", "11", "2.67", "82.22"
"1.5", "6", "1.46", "84.44"
"1.6", "6", "1.46", "86.67"
"1.7", "3", "0.73", "88.89"
"1.8", "2", "0.49", "91.11"
"1.9", "3", "0.73", "93.33"
"2", "3", "0.73", "95.56"
"2.3", "2", "0.49", "97.78"
"2.4", "1", "0.24", "100"
