"40713"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "5", "1.21", "2.04"
"-2.7", "1", "0.24", "4.08"
"-2.6", "1", "0.24", "6.12"
"-2.5", "1", "0.24", "8.16"
"-2.2", "3", "0.73", "10.2"
"-2.1", "2", "0.49", "12.24"
"-2", "3", "0.73", "14.29"
"-1.9", "4", "0.97", "16.33"
"-1.8", "3", "0.73", "18.37"
"-1.7", "6", "1.46", "20.41"
"-1.6", "2", "0.49", "22.45"
"-1.5", "10", "2.43", "24.49"
"-1.4", "9", "2.18", "26.53"
"-1.3", "5", "1.21", "28.57"
"-1.2", "8", "1.94", "30.61"
"-1.1", "9", "2.18", "32.65"
"-1", "10", "2.43", "34.69"
"-0.9", "6", "1.46", "36.73"
"-0.8", "12", "2.91", "38.78"
"-0.7", "16", "3.88", "40.82"
"-0.6", "15", "3.64", "42.86"
"-0.5", "12", "2.91", "44.9"
"-0.4", "9", "2.18", "46.94"
"-0.3", "14", "3.4", "48.98"
"-0.2", "12", "2.91", "51.02"
"-0.1", "8", "1.94", "53.06"
"0", "18", "4.37", "55.1"
"0.1", "11", "2.67", "57.14"
"0.2", "18", "4.37", "59.18"
"0.3", "20", "4.85", "61.22"
"0.4", "13", "3.16", "63.27"
"0.5", "15", "3.64", "65.31"
"0.6", "16", "3.88", "67.35"
"0.7", "12", "2.91", "69.39"
"0.8", "18", "4.37", "71.43"
"0.9", "18", "4.37", "73.47"
"1", "10", "2.43", "75.51"
"1.1", "11", "2.67", "77.55"
"1.2", "4", "0.97", "79.59"
"1.3", "6", "1.46", "81.63"
"1.4", "5", "1.21", "83.67"
"1.5", "5", "1.21", "85.71"
"1.6", "7", "1.7", "87.76"
"1.7", "5", "1.21", "89.8"
"1.8", "7", "1.7", "91.84"
"1.9", "2", "0.49", "93.88"
"2", "1", "0.24", "95.92"
"2.1", "2", "0.49", "97.96"
"2.2", "2", "0.49", "100"
