"40712"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/1990", "03/01/1991", "8", "-1.25", "-5.43", "-0.68", "-0.53"
"07/01/1991", "12/01/1991", "5", "-1.89", "-4.79", "-0.96", "-0.74"
"08/01/1996", "09/01/1996", "1", "-1.24", "-1.24", "-1.24", "-1.24"
"06/01/1997", "07/01/1997", "1", "-1.15", "-1.15", "-1.15", "-1.15"
"12/01/1997", "03/01/1998", "3", "-1.36", "-2.88", "-0.96", "-0.76"
"11/01/1998", "09/01/1999", "10", "-2.03", "-9.21", "-0.92", "-0.79"
"12/01/1999", "11/01/2000", "11", "-2.04", "-10.22", "-0.93", "-0.92"
"04/01/2001", "01/01/2002", "9", "-1.22", "-7.76", "-0.86", "-0.97"
"08/01/2002", "03/01/2003", "7", "-1.81", "-6.5", "-0.93", "-0.61"
"07/01/2003", "10/01/2003", "3", "-1.58", "-2.88", "-0.96", "-1.14"
"10/01/2004", "02/01/2006", "16", "-1.43", "-11.52", "-0.72", "-0.68"
"08/01/2006", "10/01/2006", "2", "-1.09", "-1.57", "-0.78", "-0.78"
"02/01/2007", "04/01/2007", "2", "-1.28", "-1.91", "-0.96", "-0.96"
"10/01/2007", "02/01/2008", "4", "-1.2", "-3.92", "-0.98", "-1.05"
"04/01/2008", "08/01/2008", "4", "-2.44", "-6.25", "-1.56", "-1.44"
"01/01/2009", "08/01/2009", "7", "-2.17", "-6.3", "-0.9", "-0.57"
"11/01/2010", "03/01/2011", "4", "-1.79", "-5.26", "-1.31", "-1.5"
"02/01/2012", "08/01/2012", "6", "-2.09", "-7.36", "-1.23", "-1.24"
"03/01/2013", "07/01/2013", "4", "-1.58", "-3.44", "-0.86", "-0.9"
"09/01/2013", "11/01/2013", "2", "-1.48", "-2.12", "-1.06", "-1.06"
"04/01/2014", "07/01/2014", "3", "-1.27", "-1.97", "-0.66", "-0.49"
"08/01/2014", "10/01/2014", "2", "-1.08", "-1.38", "-0.69", "-0.69"
"01/01/2015", "07/01/2015", "6", "-1.6", "-7.99", "-1.33", "-1.42"
"03/01/2017", "02/01/2018", "11", "-1.75", "-10.37", "-0.94", "-0.97"
"07/01/2019", "10/01/2019", "3", "-1.01", "-1.33", "-0.44", "-0.21"
"06/01/2021", "08/01/2021", "2", "-1.87", "-2.97", "-1.49", "-1.49"
"03/01/2022", "04/01/2023", "13", "-1.64", "-8.26", "-0.64", "-0.5"
"08/01/2023", "01/01/2024", "5", "-1.54", "-5.6", "-1.12", "-0.93"
