"40708"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "1.94", "2"
"-3", "2", "0.49", "4"
"-2.4", "1", "0.24", "6"
"-2.3", "1", "0.24", "8"
"-2.2", "2", "0.49", "10"
"-2.1", "2", "0.49", "12"
"-1.9", "1", "0.24", "14"
"-1.8", "3", "0.73", "16"
"-1.7", "4", "0.97", "18"
"-1.6", "6", "1.46", "20"
"-1.5", "6", "1.46", "22"
"-1.4", "9", "2.18", "24"
"-1.3", "8", "1.94", "26"
"-1.2", "8", "1.94", "28"
"-1.1", "10", "2.43", "30"
"-1", "15", "3.64", "32"
"-0.9", "8", "1.94", "34"
"-0.8", "13", "3.16", "36"
"-0.7", "14", "3.4", "38"
"-0.6", "11", "2.67", "40"
"-0.5", "19", "4.61", "42"
"-0.4", "13", "3.16", "44"
"-0.3", "11", "2.67", "46"
"-0.2", "11", "2.67", "48"
"-0.1", "14", "3.4", "50"
"0", "16", "3.88", "52"
"0.1", "9", "2.18", "54"
"0.2", "11", "2.67", "56"
"0.3", "13", "3.16", "58"
"0.4", "16", "3.88", "60"
"0.5", "19", "4.61", "62"
"0.6", "23", "5.58", "64"
"0.7", "10", "2.43", "66"
"0.8", "12", "2.91", "68"
"0.9", "13", "3.16", "70"
"1", "10", "2.43", "72"
"1.1", "7", "1.7", "74"
"1.2", "8", "1.94", "76"
"1.3", "8", "1.94", "78"
"1.4", "5", "1.21", "80"
"1.5", "10", "2.43", "82"
"1.6", "6", "1.46", "84"
"1.7", "3", "0.73", "86"
"1.8", "3", "0.73", "88"
"1.9", "1", "0.24", "90"
"2", "1", "0.24", "92"
"2.1", "1", "0.24", "94"
"2.2", "4", "0.97", "96"
"2.3", "2", "0.49", "98"
"2.6", "1", "0.24", "100"
