"88107"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "8", "3.28", "2.44"
"-2.7", "1", "0.41", "4.88"
"-2", "3", "1.23", "7.32"
"-1.9", "6", "2.46", "9.76"
"-1.8", "4", "1.64", "12.2"
"-1.7", "5", "2.05", "14.63"
"-1.6", "4", "1.64", "17.07"
"-1.5", "4", "1.64", "19.51"
"-1.4", "2", "0.82", "21.95"
"-1.3", "3", "1.23", "24.39"
"-1.2", "5", "2.05", "26.83"
"-1.1", "8", "3.28", "29.27"
"-1", "6", "2.46", "31.71"
"-0.9", "5", "2.05", "34.15"
"-0.8", "5", "2.05", "36.59"
"-0.7", "5", "2.05", "39.02"
"-0.6", "3", "1.23", "41.46"
"-0.5", "4", "1.64", "43.9"
"-0.4", "4", "1.64", "46.34"
"-0.3", "8", "3.28", "48.78"
"-0.2", "11", "4.51", "51.22"
"-0.1", "4", "1.64", "53.66"
"0", "9", "3.69", "56.1"
"0.1", "10", "4.1", "58.54"
"0.2", "6", "2.46", "60.98"
"0.3", "12", "4.92", "63.41"
"0.4", "12", "4.92", "65.85"
"0.5", "8", "3.28", "68.29"
"0.6", "7", "2.87", "70.73"
"0.7", "9", "3.69", "73.17"
"0.8", "6", "2.46", "75.61"
"0.9", "7", "2.87", "78.05"
"1", "14", "5.74", "80.49"
"1.1", "10", "4.1", "82.93"
"1.2", "5", "2.05", "85.37"
"1.3", "5", "2.05", "87.8"
"1.4", "3", "1.23", "90.24"
"1.5", "6", "2.46", "92.68"
"1.6", "4", "1.64", "95.12"
"1.7", "2", "0.82", "97.56"
"1.9", "1", "0.41", "100"
