"40701"
"start_date", "end_date", "duration", "peak", "sum", "average", "median"
"07/01/1990", "03/01/1991", "8", "-2.31", "-9.39", "-1.17", "-1.37"
"10/01/1991", "12/01/1991", "2", "-2.28", "-3.04", "-1.52", "-1.52"
"12/01/1995", "03/01/1996", "3", "-2.39", "-5.54", "-1.85", "-1.66"
"05/01/1997", "08/01/1997", "3", "-2.3", "-4.35", "-1.45", "-1.78"
"02/01/1999", "06/01/1999", "4", "-2.75", "-5.35", "-1.34", "-1.15"
"06/01/2000", "05/01/2001", "11", "-2.2", "-10.21", "-0.93", "-0.55"
"08/01/2001", "04/01/2002", "8", "-2.92", "-9.13", "-1.14", "-0.95"
"06/01/2021", "09/01/2021", "3", "-2.03", "-3.36", "-1.12", "-1.31"
"09/01/2022", "04/01/2023", "7", "-3.15", "-10.61", "-1.52", "-1.26"
