"40712"
"spi", "frequency", "percentage", "rankingpercentile"
"-99", "5", "1.21", "2.04"
"-2.2", "3", "0.73", "4.08"
"-2.1", "1", "0.24", "6.12"
"-2", "1", "0.24", "8.16"
"-1.9", "2", "0.49", "10.2"
"-1.8", "1", "0.24", "12.24"
"-1.7", "3", "0.73", "14.29"
"-1.6", "2", "0.49", "16.33"
"-1.5", "7", "1.7", "18.37"
"-1.4", "7", "1.7", "20.41"
"-1.3", "17", "4.13", "22.45"
"-1.2", "16", "3.88", "24.49"
"-1.1", "13", "3.16", "26.53"
"-1", "8", "1.94", "28.57"
"-0.9", "13", "3.16", "30.61"
"-0.8", "7", "1.7", "32.65"
"-0.7", "11", "2.67", "34.69"
"-0.6", "19", "4.61", "36.73"
"-0.5", "13", "3.16", "38.78"
"-0.4", "11", "2.67", "40.82"
"-0.3", "17", "4.13", "42.86"
"-0.2", "16", "3.88", "44.9"
"-0.1", "19", "4.61", "46.94"
"0", "18", "4.37", "48.98"
"0.1", "16", "3.88", "51.02"
"0.2", "14", "3.4", "53.06"
"0.3", "12", "2.91", "55.1"
"0.4", "16", "3.88", "57.14"
"0.5", "10", "2.43", "59.18"
"0.6", "6", "1.46", "61.22"
"0.7", "10", "2.43", "63.27"
"0.8", "10", "2.43", "65.31"
"0.9", "12", "2.91", "67.35"
"1", "12", "2.91", "69.39"
"1.1", "3", "0.73", "71.43"
"1.2", "4", "0.97", "73.47"
"1.3", "8", "1.94", "75.51"
"1.4", "9", "2.18", "77.55"
"1.5", "10", "2.43", "79.59"
"1.6", "3", "0.73", "81.63"
"1.7", "7", "1.7", "83.67"
"1.8", "4", "0.97", "85.71"
"1.9", "6", "1.46", "87.76"
"2.1", "1", "0.24", "89.8"
"2.2", "5", "1.21", "91.84"
"2.3", "1", "0.24", "93.88"
"2.4", "1", "0.24", "95.92"
"2.7", "1", "0.24", "97.96"
"2.8", "1", "0.24", "100"
