"40704"
"spi", "frequency", "percentage", "rankingpercentile"
"-3.5", "1", "0.24", "1.96"
"-2.9", "1", "0.24", "3.92"
"-2.6", "1", "0.24", "5.88"
"-2.2", "4", "0.97", "7.84"
"-2.1", "1", "0.24", "9.8"
"-2", "1", "0.24", "11.76"
"-1.9", "3", "0.73", "13.73"
"-1.8", "5", "1.21", "15.69"
"-1.7", "1", "0.24", "17.65"
"-1.6", "4", "0.97", "19.61"
"-1.5", "8", "1.94", "21.57"
"-1.4", "14", "3.4", "23.53"
"-1.3", "8", "1.94", "25.49"
"-1.2", "7", "1.7", "27.45"
"-1.1", "4", "0.97", "29.41"
"-1", "5", "1.21", "31.37"
"-0.9", "17", "4.13", "33.33"
"-0.8", "11", "2.67", "35.29"
"-0.7", "9", "2.18", "37.25"
"-0.6", "5", "1.21", "39.22"
"-0.5", "11", "2.67", "41.18"
"-0.4", "11", "2.67", "43.14"
"-0.3", "15", "3.64", "45.1"
"-0.2", "19", "4.61", "47.06"
"-0.1", "14", "3.4", "49.02"
"0", "12", "2.91", "50.98"
"0.1", "23", "5.58", "52.94"
"0.2", "9", "2.18", "54.9"
"0.3", "20", "4.85", "56.86"
"0.4", "18", "4.37", "58.82"
"0.5", "26", "6.31", "60.78"
"0.6", "11", "2.67", "62.75"
"0.7", "17", "4.13", "64.71"
"0.8", "13", "3.16", "66.67"
"0.9", "16", "3.88", "68.63"
"1", "14", "3.4", "70.59"
"1.1", "9", "2.18", "72.55"
"1.2", "8", "1.94", "74.51"
"1.3", "5", "1.21", "76.47"
"1.4", "7", "1.7", "78.43"
"1.5", "5", "1.21", "80.39"
"1.6", "3", "0.73", "82.35"
"1.7", "3", "0.73", "84.31"
"1.8", "5", "1.21", "86.27"
"1.9", "1", "0.24", "88.24"
"2", "1", "0.24", "90.2"
"2.1", "1", "0.24", "92.16"
"2.2", "2", "0.49", "94.12"
"2.3", "1", "0.24", "96.08"
"2.4", "1", "0.24", "98.04"
"2.5", "1", "0.24", "100"
