date,spi_deseason
2008-06-01,-0.018791236
2008-07-01,0.6017325
2008-08-01,0.51850396
2008-09-01,0.3503456
2008-10-01,0.13047352
2008-11-01,-0.2021853
2008-12-01,-0.17242706
2009-01-01,-0.45807433
2009-02-01,-0.11669681
2009-03-01,-0.8452554
2009-04-01,-0.6100925
2009-05-01,-1.0337124
2009-06-01,-0.48117402
2009-07-01,-0.7146283
2009-08-01,0.31504297
2009-09-01,2.3629985
2009-10-01,1.3853492
2009-11-01,1.8705612
2009-12-01,0.71736926
2010-01-01,1.2232671
2010-02-01,0.28013027
2010-03-01,0.3782189
2010-04-01,1.6134892
2010-05-01,1.7808173
2010-06-01,1.6546161
2010-07-01,0.74505424
2010-08-01,0.5188432
2010-09-01,0.57842284
2010-10-01,0.24031939
2010-11-01,-0.618203
2010-12-01,-1.0657498
2011-01-01,-0.85550666
2011-02-01,0.5358465
2011-03-01,0.30732524
2011-04-01,0.088136815
2011-05-01,-0.24051347
2011-06-01,0.66135764
2011-07-01,0.67574894
2011-08-01,0.851771
2011-09-01,0.14912839
2011-10-01,1.3988448
2011-11-01,1.2378352
2011-12-01,1.1128684
2012-01-01,0.18937252
2012-02-01,-0.05824195
2012-03-01,0.9662926
2012-04-01,0.26781678
2012-05-01,0.83525753
2012-06-01,0.5812129
2012-07-01,1.4823117
2012-08-01,1.1860629
2012-09-01,0.07581418
2012-10-01,-0.9169127
2012-11-01,-0.7063418
2012-12-01,-0.28085056
2013-01-01,0.1647235
2013-02-01,0.3227803
2013-03-01,-0.114847705
2013-04-01,-0.6776777
2013-05-01,-0.42994723
2013-06-01,0.940762
2013-07-01,1.3131496
2013-08-01,1.8188981
2013-09-01,0.9572717
2013-10-01,0.46423185
2013-11-01,-0.30683362
2013-12-01,0.011661851
2014-01-01,-0.07218332
2014-02-01,0.08633968
2014-03-01,-0.9132528
2014-04-01,-0.8052846
2014-05-01,-0.82002205
2014-06-01,-0.95208645
2014-07-01,-0.95277226
2014-08-01,-0.721272
2014-09-01,-0.40289706
2014-10-01,-0.2953781
2014-11-01,0.83198774
2014-12-01,0.9876205
2015-01-01,0.9935032
2015-02-01,1.1767547
2015-03-01,1.3870262
2015-04-01,1.4065719
2015-05-01,0.29198328
2015-06-01,-0.48171592
2015-07-01,-0.38154554
2015-08-01,-0.33433056
2015-09-01,-0.5832845
2015-10-01,0.5464032
2015-11-01,0.20272097
2015-12-01,0.7503005
2016-01-01,0.86052454
2016-02-01,1.0387628
2016-03-01,0.86791205
2016-04-01,-0.04522357
2016-05-01,-0.2086986
2016-06-01,-0.18090701
2016-07-01,-0.14260106
2016-08-01,0.17589284
2016-09-01,1.9561175
2016-10-01,1.63514
2016-11-01,1.3038392
2016-12-01,-0.13449986
2017-01-01,-0.69994867
2017-02-01,0.22029936
2017-03-01,-0.1606219
2017-04-01,-0.4424736
2017-05-01,-1.4620113
2017-06-01,-1.2677696
2017-07-01,-1.2137872
2017-08-01,-1.4307225
2017-09-01,-1.0971428
2017-10-01,0.09736125
2017-11-01,0.034796532
2017-12-01,0.10572556
2018-01-01,-0.015176283
2018-02-01,0.2834756
2018-03-01,0.52471113
2018-04-01,0.12691061
2018-05-01,-0.2516581
2018-06-01,-0.0026798332
2018-07-01,0.1328091
2018-08-01,0.4928857
2018-09-01,0.2855689
2018-10-01,-0.4169033
2018-11-01,-0.4077388
2018-12-01,-0.3084022
2019-01-01,0.28682873
2019-02-01,0.39173618
2019-03-01,0.08602895
2019-04-01,0.46937272
2019-05-01,0.10853302
2019-06-01,-0.27967176
2019-07-01,-1.4917132
2019-08-01,-1.1498632
2019-09-01,0.5647439
2019-10-01,-0.43385848
2019-11-01,-0.49251255
2019-12-01,-1.0449702
2020-01-01,-0.2887353
2020-02-01,-0.12214487
2020-03-01,-0.20028429
2020-04-01,0.2945498
2020-05-01,0.0332116
2020-06-01,0.032050382
2020-07-01,-0.7594679
2020-08-01,0.7285432
2020-09-01,0.44467294
2020-10-01,0.22228496
2020-11-01,-0.888178
2020-12-01,-0.09924416
2021-01-01,0.23043042
2021-02-01,0.4326674
2021-03-01,0.58395344
2021-04-01,0.094108395
2021-05-01,0.13381231
2021-06-01,-0.9404846
2021-07-01,-0.84459114
2021-08-01,-4.9651694
2021-09-01,-1.0794647
2021-10-01,-0.42644215
2021-11-01,-0.70577765
2021-12-01,-0.52815866
2022-01-01,-1.0031198
2022-02-01,-0.90536463
2022-03-01,0.1883623
2022-04-01,-0.15998314
2022-05-01,0.12168495
2022-06-01,-0.9064334
2022-07-01,-0.42799106
2022-08-01,-0.5597265
2022-09-01,-1.3328015
2022-10-01,-1.2044181
2022-11-01,-1.1026849
2022-12-01,-0.6503805
2023-01-01,-0.4820963
2023-02-01,-0.86384046
2023-03-01,-1.5324931
2023-04-01,-1.6300924
2023-05-01,-0.46220627
2023-06-01,0.019220147
2023-07-01,1.1456691
2023-08-01,1.0727862
2023-09-01,1.8099105
2023-10-01,1.0682507
2023-11-01,0.60258853
2023-12-01,-0.0647299
2024-01-01,0.02867529
2024-02-01,0.10888699
2024-03-01,0.5792086
2024-04-01,-0.2237857
2024-05-01,-0.50789756
2024-06-01,-0.45904517
2024-07-01,-0.33201045
2024-08-01,-0.5439996
2024-09-01,-0.85523677
2024-10-01,-1.0891811
2024-11-01,-1.0762272
2024-12-01,-0.8594957
2025-01-01,-0.5341573
2025-02-01,-0.13807704
2025-03-01,0.3750298
2025-04-01,0.2083387
2025-05-01,-0.14915292
2025-06-01,-0.12526724
2025-07-01,-0.26447344
2025-08-01,-0.10908227
2025-09-01,-0.2512735
2025-10-01,-0.06924088
2025-11-01,-1.0408499
2025-12-01,-1.2060801
2026-01-01,-2.1431859
2026-02-01,-1.9613957
2026-03-01,-0.9777992
2026-04-01,-0.4781283
2026-05-01,-0.10161038
2026-06-01,0.08767344
2026-07-01,-0.36938387
2026-08-01,-0.43238366
2026-09-01,0.055020705
2026-10-01,0.28707993
2026-11-01,0.46449476
2026-12-01,0.63962454
2027-01-01,0.85392666
2027-02-01,0.23263125
2027-03-01,-0.7038756
2027-04-01,-2.2228382
2027-05-01,-1.269192
2027-06-01,0.25105578
2027-07-01,0.71361214
2027-08-01,0.5309153
2027-09-01,-0.3688814
2027-10-01,-0.75512147
2027-11-01,-0.57946104
2027-12-01,0.6979816
2028-01-01,0.36668575
2028-02-01,0.13002811
2028-03-01,-1.4216766
2028-04-01,-1.2760502
2028-05-01,-1.6682059
2028-06-01,0.22474834
2028-07-01,1.1303174
2028-08-01,1.2774236
2028-09-01,0.6017811
2028-10-01,0.10634589
2028-11-01,0.08588679
2028-12-01,0.40508282
2029-01-01,-0.28509134
2029-02-01,-1.3773487
2029-03-01,-3.2145338
2029-04-01,-0.7881488
2029-05-01,0.35493988
2029-06-01,0.31911522
2029-07-01,0.047112808
2029-08-01,-0.5759209
2029-09-01,-0.5694658
2029-10-01,-0.1563375
2029-11-01,0.24694468
2029-12-01,0.36960655
2030-01-01,0.42533445
2030-02-01,-0.18186016
2030-03-01,-0.765782
2030-04-01,-1.950306
2030-05-01,-1.1236671
2030-06-01,0.6753999
2030-07-01,1.0207758
2030-08-01,1.0886061
2030-09-01,0.36444986
2030-10-01,-0.092058495
2030-11-01,-0.035701126
2030-12-01,0.25881612
2031-01-01,-0.5630166
2031-02-01,-2.035755
2031-03-01,-2.9091341
2031-04-01,-0.55458385
2031-05-01,0.16903801
2031-06-01,0.15005131
2031-07-01,-0.3398412
2031-08-01,-0.6707509
2031-09-01,-0.47998083
2031-10-01,0.1890284
2031-11-01,0.22435807
2031-12-01,0.41416448
2032-01-01,0.385899
2032-02-01,-0.15461175
2032-03-01,-1.1038356
2032-04-01,-1.3429724
2032-05-01,-0.009585038
2032-06-01,1.2908711
2032-07-01,1.6451883
2032-08-01,1.1863518
2032-09-01,0.5972812
2032-10-01,0.25811607
2032-11-01,0.2599287
2032-12-01,0.353567
2033-01-01,0.5558812
2033-02-01,0.36354756
2033-03-01,-0.44765043
2033-04-01,-0.88176745
2033-05-01,-0.93752354
2033-06-01,-0.6506592
2033-07-01,-0.6946024
2033-08-01,-0.62493694
2033-09-01,-0.59951514
2033-10-01,0.04299873
2033-11-01,0.8714228
2033-12-01,1.2784841
2034-01-01,1.1591992
2034-02-01,0.9339832
2034-03-01,0.8082664
2034-04-01,1.0179647
2034-05-01,0.39616275
2034-06-01,0.21486185
2034-07-01,0.50298524
2034-08-01,0.46691054
2034-09-01,0.3009948
2034-10-01,0.008820549
2034-11-01,0.5427085
2034-12-01,1.2073363
2035-01-01,1.6405867
2035-02-01,1.0195936
2035-03-01,-0.16019839
2035-04-01,-1.0710241
2035-05-01,-0.46010393
2035-06-01,-0.18687776
2035-07-01,0.11807568
2035-08-01,0.24604426
2035-09-01,-0.7226151
2035-10-01,-1.2445384
2035-11-01,-0.22652268
2035-12-01,1.1633308
2036-01-01,0.8573528
2036-02-01,0.64313304
2036-03-01,-0.70267487
2036-04-01,-0.71802825
2036-05-01,-0.254561
2036-06-01,-0.13505955
2036-07-01,0.7232043
2036-08-01,0.9126416
2036-09-01,0.7479011
2036-10-01,-0.0693316
2036-11-01,-0.7764347
2036-12-01,-0.55820316
2037-01-01,-0.9642991
2037-02-01,0.0803837
2037-03-01,1.3231752
2037-04-01,2.2590158
2037-05-01,1.6556009
2037-06-01,0.67480713
2037-07-01,-0.051466063
2037-08-01,0.32168335
2037-09-01,0.33379078
2037-10-01,0.4275207
2037-11-01,-0.60321796
2037-12-01,-1.2703735
2038-01-01,-1.4033408
2038-02-01,-0.5866373
2038-03-01,-0.08479451
2038-04-01,0.1564809
2038-05-01,0.19682877
2038-06-01,0.50659716
2038-07-01,0.59776694
2038-08-01,0.20763572
2038-09-01,-0.17392282
2038-10-01,0.403561
2038-11-01,0.8166096
2038-12-01,0.9730244
2039-01-01,0.26482922
2039-02-01,-0.99662894
2039-03-01,-1.5832525
2039-04-01,-1.3079629
2039-05-01,0.30547738
2039-06-01,0.86540633
2039-07-01,0.8013321
2039-08-01,-0.64355266
2039-09-01,-1.4237708
2039-10-01,-0.89396435
2039-11-01,0.14768867
2039-12-01,0.13146605
2040-01-01,0.04778771
2040-02-01,-1.1653861
2040-03-01,-1.0968428
2040-04-01,-0.9160927
2040-05-01,-0.8091547
2040-06-01,0.01681076
2040-07-01,0.30122334
2040-08-01,0.718814
2040-09-01,0.61280805
2040-10-01,0.31118
2040-11-01,0.13347898
2040-12-01,0.2884804
2041-01-01,0.49124664
2041-02-01,0.5940172
2041-03-01,0.10470891
2041-04-01,-0.85374415
2041-05-01,-1.1055766
2041-06-01,-0.8364871
2041-07-01,-0.2363507
2041-08-01,0.04532881
2041-09-01,0.39007443
2041-10-01,0.8873948
2041-11-01,1.2588627
2041-12-01,0.87998444
2042-01-01,0.70466
2042-02-01,0.5424122
2042-03-01,1.1437712
2042-04-01,1.2481623
2042-05-01,0.72744817
2042-06-01,-0.2698121
2042-07-01,-0.35017812
2042-08-01,-0.33083385
2042-09-01,-1.0146515
2042-10-01,-0.80162007
2042-11-01,-1.7230061
2042-12-01,-1.5471088
2043-01-01,-0.71489304
2043-02-01,-0.29483992
2043-03-01,0.016536787
2043-04-01,-0.20208274
2043-05-01,-0.42339444
2043-06-01,-0.2689417
2043-07-01,0.16623801
2043-08-01,0.17180528
2043-09-01,0.34008455
2043-10-01,0.37015688
2043-11-01,0.26694673
2043-12-01,-0.9945384
2044-01-01,-2.2621095
2044-02-01,-1.9406738
2044-03-01,-0.06387296
2044-04-01,0.45098484
2044-05-01,0.8202143
2044-06-01,-0.08757709
2044-07-01,0.042797036
2044-08-01,-0.04709454
2044-09-01,0.22002429
2044-10-01,-0.16427128
2044-11-01,-0.30442625
2044-12-01,-1.1409937
2045-01-01,-1.7199135
2045-02-01,-2.5283077
2045-03-01,-0.83629835
2045-04-01,0.16502249
2045-05-01,0.0222788
2045-06-01,-0.32731038
2045-07-01,-1.0724329
2045-08-01,-0.93398476
2045-09-01,-0.20406899
2045-10-01,0.46916848
2045-11-01,0.5375796
2045-12-01,0.827094
2046-01-01,0.2758609
2046-02-01,0.34590328
2046-03-01,0.7156794
2046-04-01,0.97147113
2046-05-01,0.74038774
2046-06-01,-0.43635672
2046-07-01,-1.066205
2046-08-01,-0.8830426
2046-09-01,-0.45478284
2046-10-01,0.27701992
2046-11-01,0.08372013
2046-12-01,-1.1447637
2047-01-01,-1.1133015
2047-02-01,-0.24888894
2047-03-01,0.08065063
2047-04-01,0.3107885
2047-05-01,0.47349977
2047-06-01,0.49661726
2047-07-01,-0.01625651
2047-08-01,-0.4744221
2047-09-01,0.030612215
2047-10-01,0.21792437
2047-11-01,0.5599484
2047-12-01,0.63048774
2048-01-01,0.38863975
2048-02-01,0.011414006
2048-03-01,-1.240865
2048-04-01,-0.5165322
2048-05-01,-1.017384
2048-06-01,0.8870321
2048-07-01,1.8777297
2048-08-01,1.793567
2048-09-01,1.1715527
2048-10-01,0.22941531
2048-11-01,-0.29074538
2048-12-01,0.40761107
2049-01-01,0.14124192
2049-02-01,-0.030617192
2049-03-01,-1.7857269
2049-04-01,-1.5325495
2049-05-01,-1.0727772
2049-06-01,-0.55547136
2049-07-01,-0.09997858
2049-08-01,0.3197989
2049-09-01,0.21032687
2049-10-01,0.5609454
2049-11-01,0.40771902
2049-12-01,0.15718262
2050-01-01,-0.13591805
2050-02-01,0.5462183
2050-03-01,0.5819632
2050-04-01,0.9792333
2050-05-01,-0.5804363
2050-06-01,-1.0351139
2050-07-01,-1.6780177
2050-08-01,-1.0219661
2050-09-01,0.365057
2050-10-01,1.2671797
2050-11-01,0.95153373
2050-12-01,-0.16922541
2051-01-01,-1.1993793
2051-02-01,-0.59629834
2051-03-01,0.33715212
2051-04-01,-0.47368127
2051-05-01,-0.7536098
2051-06-01,-1.8999368
2051-07-01,-1.0694544
2051-08-01,-0.7658333
2051-09-01,-0.34646684
2051-10-01,0.27234018
2051-11-01,0.44230235
2051-12-01,0.61457556
2052-01-01,0.25222182
2052-02-01,0.15044783
2052-03-01,-0.1397135
2052-04-01,0.23618965
2052-05-01,0.11895266
2052-06-01,0.64337635
2052-07-01,-0.16159093
2052-08-01,-0.17458162
2052-09-01,-0.827576
2052-10-01,-0.52857316
2052-11-01,-1.7916658
2052-12-01,-1.2857807
2053-01-01,-0.6391361
2053-02-01,-0.17772211
2053-03-01,-0.19587035
2053-04-01,-0.07087238
2053-05-01,-0.17319474
2053-06-01,-0.2602381
2053-07-01,-0.20600723
2053-08-01,-0.2586215
2053-09-01,-0.18192972
2053-10-01,-0.20201044
2053-11-01,-0.23245777
2053-12-01,-1.1293226
2054-01-01,-1.9915502
2054-02-01,-2.692159
2054-03-01,-1.6073244
2054-04-01,-0.54954857
2054-05-01,-0.61353165
2054-06-01,-0.05234991
2054-07-01,-0.44154924
2054-08-01,-0.74384385
